Symbol,Name,BuiltOn
ANKA.BITCI,Ankaragücü Fan Token (ANKA.BITCI),BITCI
PPY,Peerplays (PPY),
ZCL,ZClassic (ZCL),
ARCT,ArbitrageCT (ARCT),
JUR,Jur (JUR),
STOP,SatoPay (STOP),ETH
CUSDTHEDGE,1X Short Compound USDT Token (CUSDTHEDGE),
1-UP,1-UP (1-UP),ETH
VOLT,BitVolt (VOLT),
HRBE,Harambee Token (HRBE),
ORV,Orvium (ORV),
ARTDECO,ARTDECO (ARTDECO),BNB
ZOE,Zoe Cash (ZOE),TRX
CWBTC,Compound Wrapped BTC (CWBTC),
AUTO,Auto (AUTO),BNB
GOMA,GOMA Finance (GOMA),BNB
DUELERS,Block Duelers (DUELERS),
WAN,Wanchain (WAN),
QWARK,Qwark (QWARK),
DIG,Dignity (DIG),
AMBT,AMBT Token (AMBT),
GGC,Global Game Coin (GGC),
PVU,Plant vs Undead Token (PVU),BNB
GP,GoldPieces (GP),
SAGA,SagaCoin (SAGA),
FEAR,Fear (FEAR),ETH/BNB
SBD,Steem Dollars (SBD),
MATICBULL,3X Long Matic Token (MATICBULL),ETH
TES,TeslaCoin (TES),
CHC,ChainCoin (CHC),
DLXV,Delta-X (DLXV),
SCAP,SafeCapital (SCAP),
LAR,LinkArt (LAR),
DCC,Distributed Credit Chain (DCC),
BLV,Blockvest (BLV),
DYNCOIN,Dyncoin (DYNCOIN),
DCN,Dentacoin (DCN),ETH
SPEC,SpecCoin (SPEC),
ICST,ICST (ICST),
PPC,PeerCoin (PPC),
GSM,GSM Coin (GSM),
BKX,BANKEX (BKX),
WHL,WhaleCoin (WHL),
SAMO,Samoyedcoin (SAMO),SOL
TSL,Energo (TSL),ETH
DFY,Defi For You (DFY),BNB
RIPO,RipOffCoin (RIPO),
ATFS,ATFS Project (ATFS),
BFC,Bifrost (BFC),
ETHV,Ethverse (ETHV),ETH
ECOM,Omnitude (ECOM),ETH
SAFE,SafeCoin (SAFE),
YFIVE,YFIVE FINANCE (YFIVE),
UNIQUE,Unique One (UNIQUE),
DOGETH,EtherDoge (DOGETH),
BOTC,BotChain (BOTC),
YFIE,YFIEXCHANGE.FINANCE (YFIE),
BLINK,BlockMason Link (BLINK),
EMBER,EmberCoin (EMBER),
